user_id,session_id,channel
g0sja4agdm0k,l2mu1asfx3gvbnxh,desktop_web
wdkg24pt65kz,jvd5mznecdykfu5g,mobile_web
alf0l68m8rhj,waezug10vuluzvjs,ios
rk9dm3ui88b4,1u2ux17lf85o17tu,android
mhvyh0179r16,hdykhjoykseotffn,mobile_web
bn58u3kcyutg,wa0ik3i0reerjw2g,mobile_web
h84ebaku6o2k,qs93a9t1vgm04i6m,desktop_web
hov9c5fdi5me,zjkydouwoanaorkv,android
mrajs9egm8n8,e24o9d9ei3r2i9hr,android
mrajs9egm8n8,1xtw4iwa5ucnt84n,android
fw40pdoijsth,wsbx2yigp8cc9igm,mobile_web
dujg5gq9ns3u,ayg65ll371tvo8gi,mobile_web
smune8e1qu3d,2ckitqap1ltu53dv,android
7o8adnilt1wf,s9drenat2cz54sgc,ios
r596m8nz33td,wsu08vvqfml1mke9,mobile_web
qij9nmen6ywr,hwzg9iih9b89j1eo,android
j6zpeaafkp9q,81xpolqq7b6q9k4x,mobile_web
x02e79wppdfv,x32fn684l5mw739h,android
rnh5hcifrwjy,32d89dndimgzpms3,desktop_web
rqziwh6vgddr,hjbdr9l4db0soh5v,desktop_web
siiib0swt34j,y5bap03onezu4erb,desktop_web
1a7oe5g1stv7,tst8jdm290ch6v07,ios
zvcynn9r0dat,o67g6msj5ik8aff8,android
zvcynn9r0dat,fzso8dohpaliwxw5,android
zvcynn9r0dat,7ph38jv5j6xq2y43,android
zvcynn9r0dat,feyax5oqga5ierau,android
zvcynn9r0dat,f2xvya3k5i0aadmw,android
zvcynn9r0dat,0an42qmikm23nf9t,android
zvcynn9r0dat,a6j4r5zip63pyq4d,android
zvcynn9r0dat,ud5w644zmhmkwdt4,android
zvcynn9r0dat,gkp03lzvwqpzr884,android
zvcynn9r0dat,zupnflpdm2cg82fz,android
zvcynn9r0dat,s7uilj4a0z2k0ori,android
zvcynn9r0dat,02pi746wdms551oh,android
zvcynn9r0dat,lgf9rq4j5uv59ukv,android
zvcynn9r0dat,sapc63n7narswsd9,android
zvcynn9r0dat,auyj7e86m0qkbx0w,android
zvcynn9r0dat,8xk4x2zv5h633cq5,android
zvcynn9r0dat,rtsiqrf7uqkvkwvk,android
zvcynn9r0dat,9bydidsmrsar1efc,android
zvcynn9r0dat,fuahu7jwec9f1eqc,android
zvcynn9r0dat,s90yotd7nah0bvf0,android
zvcynn9r0dat,1p7nmbwfl61tb6qb,android
zvcynn9r0dat,dgxew4ml6zromib3,android
qonyc71j0m5g,0zt5xlyeum3woosd,android
chcx0u15g0oa,2bz6pwr66wk03e1r,android
fkkkksh6372v,1o6axy9kr6fukbbn,mobile_web
43ica1nog3us,qnbi575lcyrr3ba3,ios
fyh6vhde8297,lrmoofpf69nh18wk,mobile_web
d4pao16juk50,h8uaro2c7l1qcxwp,android
4r7smm404f3w,d65zvcm87p5me4o0,desktop_web
0u0e65iyexj6,byrw5qlf416u0bc2,mobile_web
vshlmvvqa8xw,ckswd7qdqf1nodis,mobile_web
br089du9dvd6,5b8r242xshgup49h,android
hzwg7dsgrsf3,miuovty1fgr5tdof,desktop_web
l1gl2j1kd4il,e6dejeuefxcwoc83,android
uagohe9ao90s,ajzztu7e5utjmuju,mobile_web
n8zte1tb99df,tlm608m790ivcvtu,android
tnquaghxtmjh,m4cgjjo6fc5dd1ft,android
tnquaghxtmjh,5efb6seahcr9vhva,android
brpr3y508t6i,kyys3eqr4sptfgn2,android
brpr3y508t6i,8t8s2n8ta4jsiaci,android
f3gwo61woq7o,tpgsm5woh0k5crkd,mobile_web
o4mzh4bb1zbj,zru2f31rkwlbpdc9,android
v6e94hee5hlq,fv1uhq2807h84k1j,mobile_web
hh9d2ajfql4e,qt3j54wi5t43ysxw,android
